date,home_team,away_team,venue,weather_temp_c,weather_rain_mm,weather_wind_kmh,weather_humidity_pct,attendance,projected_attendance,venue_length_m,venue_width_m,venue_capacity
2012-05-25,Western Bulldogs,Geelong,Docklands,9.7,36.6,35.4,88,,32860.0,159.5,128.8,53000.0
2012-05-26,Adelaide,Collingwood,Football Park,13.3,1.9,20.1,85,,31620.0,167.0,123.0,51000.0
2012-05-26,Greater Western Sydney,Essendon,Sydney Showground,12.6,0.0,25.0,57,,14880.0,164.0,128.0,24000.0
2012-05-26,Richmond,Hawthorn,M.C.G.,11.2,3.1,21.7,81,,62014.88,160.0,141.0,100024.0
2012-05-26,Gold Coast,Port Adelaide,Carrara,15.8,0.0,10.6,63,,16740.0,159.0,134.0,27000.0
2012-05-26,St Kilda,Sydney,Docklands,11.2,3.1,21.7,80,,32860.0,159.5,128.8,53000.0
2012-05-27,Carlton,Melbourne,M.C.G.,11.3,0.0,18.9,81,,62014.88,160.0,141.0,100024.0
2012-05-27,West Coast,Fremantle,Subiaco,16.3,0.0,17.9,58,,26660.0,175.0,122.0,43000.0
2012-05-27,Kangaroos,Brisbane Lions,Docklands,11.2,0.0,18.9,80,,32860.0,159.5,128.8,53000.0
2012-06-01,St Kilda,Richmond,Docklands,9.7,0.0,9.1,83,,32860.0,159.5,128.8,53000.0
2012-06-02,Fremantle,Adelaide,Subiaco,15.7,0.0,15.9,73,,26660.0,175.0,122.0,43000.0
2012-06-02,Port Adelaide,Carlton,Football Park,13.6,0.0,18.5,81,,31620.0,167.0,123.0,51000.0
2012-06-02,Essendon,Melbourne,M.C.G.,8.8,1.2,10.0,87,,62014.88,160.0,141.0,100024.0
2012-06-02,Geelong,Greater Western Sydney,Kardinia Park,10.2,3.7,16.7,86,,24800.0,170.0,115.0,40000.0
2012-06-02,Hawthorn,Kangaroos,York Park,8.4,0.7,15.6,93,,13020.0,175.0,145.0,21000.0
2012-06-03,Collingwood,Gold Coast,M.C.G.,10.1,2.6,11.3,89,,62014.88,160.0,141.0,100024.0
2012-06-03,Sydney,Western Bulldogs,S.C.G.,14.6,7.0,9.4,92,,29760.0,155.0,136.0,48000.0
2012-06-03,Brisbane Lions,West Coast,Gabba,17.9,13.2,10.5,96,,26040.0,156.0,138.0,42000.0
2012-06-08,Carlton,Geelong,Docklands,10.2,0.1,15.5,79,,32860.0,159.5,128.8,53000.0
2012-06-09,Essendon,Sydney,Docklands,10.4,0.7,12.7,87,,32860.0,159.5,128.8,53000.0
2012-06-09,Richmond,Fremantle,M.C.G.,10.5,0.7,12.7,88,,62014.88,160.0,141.0,100024.0
2012-06-09,Gold Coast,St Kilda,Carrara,14.8,2.0,16.6,87,,16740.0,159.0,134.0,27000.0
2012-06-10,Port Adelaide,Hawthorn,Football Park,8.6,0.0,12.6,75,,31620.0,167.0,123.0,51000.0
2012-06-11,Melbourne,Collingwood,M.C.G.,8.0,0.0,8.8,91,,62014.88,160.0,141.0,100024.0
2012-06-14,West Coast,Carlton,Subiaco,12.8,6.0,28.0,82,,26660.0,175.0,122.0,43000.0
2012-06-15,Adelaide,St Kilda,Football Park,11.7,0.0,25.6,80,,31620.0,167.0,123.0,51000.0
2012-06-16,Gold Coast,Kangaroos,Carrara,17.6,0.0,14.6,79,,16740.0,159.0,134.0,27000.0
2012-06-16,Greater Western Sydney,Richmond,Sydney Showground,12.8,10.1,13.0,83,,14880.0,164.0,128.0,24000.0
2012-06-17,Western Bulldogs,Port Adelaide,Docklands,11.7,0.3,21.4,78,,32860.0,159.5,128.8,53000.0
2012-06-17,Hawthorn,Brisbane Lions,M.C.G.,11.7,0.3,21.4,79,,62014.88,160.0,141.0,100024.0
2012-06-22,Sydney,Geelong,S.C.G.,13.8,0.3,26.1,59,,29760.0,155.0,136.0,48000.0
2012-06-23,Collingwood,West Coast,M.C.G.,8.9,0.1,20.6,73,,62014.88,160.0,141.0,100024.0
2012-06-23,Fremantle,Essendon,Subiaco,11.1,0.0,15.8,75,,26660.0,175.0,122.0,43000.0
2012-06-23,Western Bulldogs,Brisbane Lions,Docklands,8.8,0.1,20.6,72,,32860.0,159.5,128.8,53000.0
2012-06-24,Kangaroos,Adelaide,Docklands,11.5,0.0,19.9,75,,32860.0,159.5,128.8,53000.0
2012-06-24,Melbourne,Greater Western Sydney,M.C.G.,11.4,0.0,19.9,77,,62014.88,160.0,141.0,100024.0
2012-06-29,Carlton,Hawthorn,M.C.G.,11.3,0.6,31.4,75,,62014.88,160.0,141.0,100024.0
2012-06-30,Adelaide,Richmond,Football Park,9.9,3.3,30.2,79,,31620.0,167.0,123.0,51000.0
2012-06-30,Collingwood,Fremantle,M.C.G.,9.1,0.0,27.0,75,,62014.88,160.0,141.0,100024.0
2012-06-30,Essendon,Western Bulldogs,Docklands,9.1,0.0,27.0,74,,32860.0,159.5,128.8,53000.0
2012-06-30,Sydney,Greater Western Sydney,Stadium Australia,12.4,0.0,10.4,73,,51770.0,170.0,145.0,83500.0
2012-06-30,West Coast,Gold Coast,Subiaco,12.9,0.0,13.2,80,,26660.0,175.0,122.0,43000.0
2012-07-01,Geelong,Port Adelaide,Kardinia Park,9.0,8.5,24.1,84,,24800.0,170.0,115.0,40000.0
2012-07-01,Brisbane Lions,Melbourne,Gabba,14.7,0.0,15.8,72,,26040.0,156.0,138.0,42000.0
2012-07-01,St Kilda,Kangaroos,Docklands,7.6,4.8,20.3,85,,32860.0,159.5,128.8,53000.0
2012-07-06,Collingwood,Carlton,M.C.G.,8.6,0.0,8.0,88,,62014.88,160.0,141.0,100024.0
2012-07-07,Port Adelaide,Adelaide,Football Park,9.6,0.0,18.7,67,,31620.0,167.0,123.0,51000.0
2012-07-07,St Kilda,Essendon,Docklands,5.8,0.0,11.9,85,,32860.0,159.5,128.8,53000.0
2012-07-07,Melbourne,Richmond,M.C.G.,5.8,0.0,11.9,86,,62014.88,160.0,141.0,100024.0
2012-07-07,Kangaroos,West Coast,Bellerive Oval,6.0,0.0,11.5,89,,12400.0,175.0,135.0,20000.0
2012-07-07,Sydney,Brisbane Lions,S.C.G.,12.1,0.1,10.3,79,,29760.0,155.0,136.0,48000.0
2012-07-08,Fremantle,Western Bulldogs,Subiaco,11.8,0.2,22.5,70,,26660.0,175.0,122.0,43000.0
2012-07-08,Gold Coast,Geelong,Carrara,15.4,0.0,14.4,81,,16740.0,159.0,134.0,27000.0
2012-07-08,Hawthorn,Greater Western Sydney,M.C.G.,7.1,0.0,16.3,75,,62014.88,160.0,141.0,100024.0
2012-07-13,Kangaroos,Carlton,Docklands,10.7,1.4,9.8,90,,32860.0,159.5,128.8,53000.0
2012-07-14,Geelong,Collingwood,M.C.G.,10.1,0.9,21.0,82,,62014.88,160.0,141.0,100024.0
2012-07-14,Port Adelaide,Essendon,Football Park,9.9,4.4,26.3,82,,31620.0,167.0,123.0,51000.0
2012-07-14,Melbourne,Fremantle,Docklands,10.0,0.9,21.0,81,,32860.0,159.5,128.8,53000.0
2012-07-14,Richmond,Gold Coast,Cazaly's Stadium,23.6,0.3,8.6,92,,8060.0,164.0,137.0,13000.0
2012-07-14,Brisbane Lions,St Kilda,Gabba,19.7,0.3,13.7,74,,26040.0,156.0,138.0,42000.0
2012-07-15,Greater Western Sydney,Adelaide,Sydney Showground,11.2,0.0,20.6,63,,14880.0,164.0,128.0,24000.0
2012-07-15,Western Bulldogs,Hawthorn,Docklands,10.5,1.3,27.7,73,,32860.0,159.5,128.8,53000.0
2012-07-15,West Coast,Sydney,Subiaco,13.3,0.6,17.9,82,,26660.0,175.0,122.0,43000.0
2012-07-20,Geelong,Essendon,Docklands,11.0,1.0,16.4,82,,32860.0,159.5,128.8,53000.0
2012-07-21,Adelaide,West Coast,Football Park,10.9,0.0,7.6,93,,31620.0,167.0,123.0,51000.0
2012-07-21,Western Bulldogs,Carlton,Docklands,9.9,0.0,8.7,87,,32860.0,159.5,128.8,53000.0
2012-07-21,Collingwood,Hawthorn,M.C.G.,10.0,0.0,8.7,88,,62014.88,160.0,141.0,100024.0
2012-07-21,Melbourne,Port Adelaide,Marrara Oval,23.0,0.0,20.2,25,,8680.0,177.0,145.0,14000.0
2012-07-21,Gold Coast,Brisbane Lions,Carrara,15.6,0.0,27.1,71,,16740.0,159.0,134.0,27000.0
2012-07-22,Fremantle,Greater Western Sydney,Subiaco,15.8,0.2,20.2,60,,26660.0,175.0,122.0,43000.0
2012-07-22,Richmond,Kangaroos,M.C.G.,9.5,0.1,10.7,91,,62014.88,160.0,141.0,100024.0
2012-07-22,Sydney,St Kilda,S.C.G.,13.1,0.5,21.0,73,,29760.0,155.0,136.0,48000.0
2012-07-27,Essendon,Hawthorn,Docklands,9.9,7.5,20.6,90,,32860.0,159.5,128.8,53000.0
2012-07-28,Geelong,Adelaide,Kardinia Park,10.1,2.7,19.9,82,,24800.0,170.0,115.0,40000.0
2012-07-28,Carlton,Richmond,M.C.G.,10.0,2.0,21.1,83,,62014.88,160.0,141.0,100024.0
2012-07-28,Greater Western Sydney,Collingwood,Sydney Showground,11.4,0.0,16.2,63,,14880.0,164.0,128.0,24000.0
2012-07-28,Kangaroos,Melbourne,Docklands,9.9,2.0,21.1,82,,32860.0,159.5,128.8,53000.0
2012-07-28,Gold Coast,Sydney,Carrara,14.3,0.0,16.4,58,,16740.0,159.0,134.0,27000.0
2012-07-29,St Kilda,Western Bulldogs,Docklands,8.6,3.1,18.9,84,,32860.0,159.5,128.8,53000.0
2012-07-29,Port Adelaide,Fremantle,Football Park,10.7,0.0,14.8,79,,31620.0,167.0,123.0,51000.0
2012-07-29,West Coast,Brisbane Lions,Subiaco,13.5,0.0,22.3,58,,26660.0,175.0,122.0,43000.0
2012-08-03,Hawthorn,Geelong,M.C.G.,9.8,0.7,19.9,71,,62014.88,160.0,141.0,100024.0
2012-08-04,Collingwood,St Kilda,M.C.G.,10.9,1.9,21.9,68,,62014.88,160.0,141.0,100024.0
2012-08-04,Western Bulldogs,Kangaroos,Docklands,10.8,1.9,21.9,68,,32860.0,159.5,128.8,53000.0
2012-08-04,Fremantle,West Coast,Subiaco,14.0,4.4,21.9,87,,26660.0,175.0,122.0,43000.0
2012-08-04,Greater Western Sydney,Port Adelaide,Sydney Showground,11.4,0.0,13.9,60,,14880.0,164.0,128.0,24000.0
2012-08-04,Brisbane Lions,Richmond,Gabba,12.3,0.0,9.7,60,,26040.0,156.0,138.0,42000.0
2012-08-05,Adelaide,Essendon,Football Park,12.4,3.5,29.3,82,,31620.0,167.0,123.0,51000.0
2012-08-05,Carlton,Sydney,Docklands,11.0,1.8,29.6,66,,32860.0,159.5,128.8,53000.0
2012-08-05,Melbourne,Gold Coast,M.C.G.,11.0,1.8,29.6,67,,62014.88,160.0,141.0,100024.0
2012-08-10,West Coast,Geelong,Subiaco,14.4,0.0,15.9,61,,26660.0,175.0,122.0,43000.0
2012-08-11,Adelaide,Fremantle,Football Park,10.8,0.0,15.5,76,,31620.0,167.0,123.0,51000.0
2012-08-11,Carlton,Brisbane Lions,Docklands,10.5,1.4,21.0,83,,32860.0,159.5,128.8,53000.0
2012-08-11,Sydney,Collingwood,Stadium Australia,12.4,0.0,35.3,64,,51770.0,170.0,145.0,83500.0
2012-08-11,St Kilda,Melbourne,M.C.G.,10.6,1.4,21.0,82,,62014.88,160.0,141.0,100024.0
2012-08-11,Gold Coast,Greater Western Sydney,Carrara,14.5,0.0,17.1,48,,16740.0,159.0,134.0,27000.0
2012-08-12,Essendon,Kangaroos,Docklands,10.0,0.0,14.5,88,,32860.0,159.5,128.8,53000.0
2012-08-12,Richmond,Western Bulldogs,M.C.G.,10.1,0.0,14.5,87,,62014.88,160.0,141.0,100024.0
2012-08-12,Hawthorn,Port Adelaide,York Park,7.5,0.0,6.6,85,,13020.0,175.0,145.0,21000.0
2012-08-17,Geelong,St Kilda,Docklands,9.0,8.5,25.5,81,,32860.0,159.5,128.8,53000.0
2012-08-18,Brisbane Lions,Adelaide,Gabba,15.7,0.0,20.5,41,,26040.0,156.0,138.0,42000.0
2012-08-18,Essendon,Carlton,M.C.G.,9.8,12.2,28.0,87,,62014.88,160.0,141.0,100024.0
2012-08-18,Collingwood,Kangaroos,Docklands,9.7,12.2,28.0,87,,32860.0,159.5,128.8,53000.0
2012-08-18,Fremantle,Richmond,Subiaco,14.3,0.0,17.3,69,,26660.0,175.0,122.0,43000.0
2012-08-18,Greater Western Sydney,Melbourne,Manuka Oval,4.7,2.8,26.4,86,,9300.0,170.0,130.0,15000.0
2012-08-19,Western Bulldogs,Sydney,Docklands,9.1,0.0,11.3,72,,32860.0,159.5,128.8,53000.0
2012-08-19,Hawthorn,Gold Coast,M.C.G.,9.2,0.0,11.3,72,,62014.88,160.0,141.0,100024.0
2012-08-19,Port Adelaide,West Coast,Football Park,10.8,0.1,10.1,88,,31620.0,167.0,123.0,51000.0
2012-08-24,Richmond,Essendon,M.C.G.,9.2,0.3,30.8,67,,62014.88,160.0,141.0,100024.0
2012-08-25,Gold Coast,Carlton,Carrara,17.4,0.0,12.3,51,,16740.0,159.0,134.0,27000.0
2012-08-25,West Coast,Collingwood,Subiaco,14.7,0.0,16.2,70,,26660.0,175.0,122.0,43000.0
2012-08-25,Sydney,Hawthorn,S.C.G.,13.5,0.0,13.9,51,,29760.0,155.0,136.0,48000.0
2012-08-25,Port Adelaide,Brisbane Lions,Football Park,10.8,0.2,18.9,85,,31620.0,167.0,123.0,51000.0
2012-08-25,St Kilda,Greater Western Sydney,Docklands,10.1,1.1,23.6,67,,32860.0,159.5,128.8,53000.0
2012-08-26,Melbourne,Adelaide,M.C.G.,10.5,2.0,23.0,69,,62014.88,160.0,141.0,100024.0
2012-08-26,Geelong,Western Bulldogs,Kardinia Park,10.7,0.0,25.6,68,,24800.0,170.0,115.0,40000.0
2012-08-26,Kangaroos,Fremantle,Docklands,10.4,2.0,23.0,68,,32860.0,159.5,128.8,53000.0
2012-08-31,Hawthorn,West Coast,M.C.G.,9.0,6.0,27.2,73,,62014.88,160.0,141.0,100024.0
2012-09-01,Adelaide,Gold Coast,Football Park,10.9,0.0,16.8,79,,31620.0,167.0,123.0,51000.0
2012-09-01,Essendon,Collingwood,M.C.G.,9.1,0.0,9.5,73,,62014.88,160.0,141.0,100024.0
2012-09-01,Fremantle,Melbourne,Subiaco,15.2,0.0,17.1,70,,26660.0,175.0,122.0,43000.0
2012-09-01,Geelong,Sydney,Kardinia Park,10.1,0.0,10.3,66,,24800.0,170.0,115.0,40000.0
2012-09-01,Greater Western Sydney,Kangaroos,Sydney Showground,11.3,0.0,21.0,55,,14880.0,164.0,128.0,24000.0
2012-09-02,Carlton,St Kilda,Docklands,10.2,0.0,19.8,73,,32860.0,159.5,128.8,53000.0
2012-09-02,Brisbane Lions,Western Bulldogs,Gabba,14.1,0.0,10.6,63,,26040.0,156.0,138.0,42000.0
2012-09-02,Richmond,Port Adelaide,M.C.G.,10.1,0.0,19.8,73,,62014.88,160.0,141.0,100024.0
2012-09-07,Hawthorn,Collingwood,M.C.G.,10.5,1.8,37.1,67,,62014.88,160.0,141.0,100024.0
2012-09-08,Adelaide,Sydney,Football Park,12.0,0.2,21.9,75,,31620.0,167.0,123.0,51000.0
2012-09-08,Geelong,Fremantle,M.C.G.,11.4,0.7,29.2,73,,62014.88,160.0,141.0,100024.0
2012-09-09,West Coast,Kangaroos,Subiaco,18.6,0.0,21.1,53,,26660.0,175.0,122.0,43000.0
2012-09-14,Adelaide,Fremantle,Football Park,11.9,0.0,13.2,80,,31620.0,167.0,123.0,51000.0
2012-09-15,Collingwood,West Coast,M.C.G.,11.1,0.0,10.7,80,,62014.88,160.0,141.0,100024.0
2012-09-21,Sydney,Collingwood,Stadium Australia,18.3,0.1,14.5,67,,51770.0,170.0,145.0,83500.0
2012-09-22,Hawthorn,Adelaide,M.C.G.,13.2,0.0,13.7,77,,62014.88,160.0,141.0,100024.0
2012-09-29,Hawthorn,Sydney,M.C.G.,9.4,2.1,28.2,63,,62014.88,160.0,141.0,100024.0
2013-03-22,Adelaide,Essendon,Football Park,16.8,1.0,21.4,62,,31620.0,167.0,123.0,51000.0
2013-03-23,Fremantle,West Coast,Subiaco,19.3,0.0,25.5,65,,26660.0,175.0,122.0,43000.0
2013-03-28,Carlton,Richmond,M.C.G.,17.1,18.2,25.7,66,,62014.88,160.0,141.0,100024.0
2013-03-30,Western Bulldogs,Brisbane Lions,Docklands,17.2,0.2,15.4,64,,32860.0,159.5,128.8,53000.0
2013-03-30,Gold Coast,St Kilda,Carrara,22.2,0.8,15.1,75,,16740.0,159.0,134.0,27000.0
2013-03-30,Greater Western Sydney,Sydney,Stadium Australia,18.9,0.0,14.6,69,,51770.0,170.0,145.0,83500.0
2013-03-31,Kangaroos,Collingwood,Docklands,15.9,2.3,15.1,73,,32860.0,159.5,128.8,53000.0
2013-03-31,Melbourne,Port Adelaide,M.C.G.,15.9,2.3,15.1,74,,62014.88,160.0,141.0,100024.0
2013-04-01,Hawthorn,Geelong,M.C.G.,16.1,0.0,12.4,65,,62014.88,160.0,141.0,100024.0
2013-04-05,St Kilda,Richmond,M.C.G.,16.1,0.0,8.7,75,,62014.88,160.0,141.0,100024.0
2013-04-06,Brisbane Lions,Adelaide,Gabba,19.8,2.1,15.3,76,,26040.0,156.0,138.0,42000.0
2013-04-06,Essendon,Melbourne,M.C.G.,17.8,0.0,12.1,68,,62014.88,160.0,141.0,100024.0
2013-04-06,Western Bulldogs,Fremantle,Docklands,18.0,0.0,12.1,66,,32860.0,159.5,128.8,53000.0
2013-04-06,Port Adelaide,Greater Western Sydney,Football Park,20.5,0.0,19.5,56,,31620.0,167.0,123.0,51000.0
2013-04-06,Sydney,Gold Coast,S.C.G.,18.6,5.1,9.7,76,,29760.0,155.0,136.0,48000.0
2013-04-07,Collingwood,Carlton,M.C.G.,20.0,0.0,16.3,62,,62014.88,160.0,141.0,100024.0
2013-04-07,Geelong,Kangaroos,Docklands,20.1,0.0,16.3,60,,32860.0,159.5,128.8,53000.0
2013-04-07,West Coast,Hawthorn,Subiaco,23.3,0.0,24.8,55,,26660.0,175.0,122.0,43000.0
2013-04-12,Fremantle,Essendon,Subiaco,23.2,2.1,16.2,71,,26660.0,175.0,122.0,43000.0
2013-04-13,Geelong,Carlton,Docklands,20.3,1.6,26.7,50,,32860.0,159.5,128.8,53000.0
2013-04-13,Melbourne,West Coast,M.C.G.,20.3,1.6,26.7,51,,62014.88,160.0,141.0,100024.0
2013-04-13,Kangaroos,Sydney,Bellerive Oval,14.8,1.4,21.4,74,,12400.0,175.0,135.0,20000.0
2013-04-13,Greater Western Sydney,St Kilda,Manuka Oval,16.4,0.0,15.5,65,,9300.0,170.0,130.0,15000.0
2013-04-13,Gold Coast,Brisbane Lions,Carrara,20.3,22.3,18.9,91,,16740.0,159.0,134.0,27000.0
2013-04-14,Port Adelaide,Adelaide,Football Park,18.7,0.0,17.6,71,,31620.0,167.0,123.0,51000.0
